PARA h=0.5

X    |EULER AP|S. EXATA|ERRO ABSOLUTO

0.50 |0.65625 |0.63234 |0.02391 

1.00 |0.53320 |0.51342 |0.01979 

1.50 |0.69983 |0.68729 |0.01254 

2.00 |1.77144 |1.94773 |0.17629 




X    |RUNGE K.|S. EXATA |ERRO ABSOLUTO

0.50 |0.63234 |0.63234  |0.00001 

1.00 |0.51335 |0.51342  |0.00007 

1.50 |0.68700 |0.68729  |0.00029 

2.00 |1.93321 |1.94773  |0.01452 



PARA h=0.25
X    

|EULER AP|S. EXATA|ERRO ABSOLUTO

0.25 |0.78711 |0.78287 |0.00424 

0.50 |0.63837 |0.63234 |0.00604 

0.75 |0.55016 |0.54369 |0.00647 

1.00 |0.52007 |0.51342 |0.00666 

1.25 |0.55664 |0.54938 |0.00726 

1.50 |0.69499 |0.68729 |0.00770 

1.75 |1.03875 |1.03713 |0.00162 

2.00 |1.89693 |1.94773 |0.05080 



PARA h=0.25

X    |RUNGE K.|S. EXATA |ERRO ABSOLUTO

0.25 |0.78287 |0.78287  |0.00000 

0.50 |0.63234 |0.63234  |0.00000 

0.75 |0.54369 |0.54369  |0.00000 

1.00 |0.51342 |0.51342  |0.00000 

1.25 |0.54938 |0.54938  |0.00000 

1.50 |0.68728 |0.68729  |0.00001 

1.75 |1.03700 |1.03713  |0.00013 

2.00 |1.94632 |1.94773  |0.00142 


