PARA h=0.1

X    |EULER AP |EXATA    |ERRO ABSOLUTO

0.10 |1.65500  |1.65886  |0.00386 

0.20 |2.44310  |2.45252  |0.00942 

0.30 |3.39358  |3.41083  |0.01724 

0.40 |4.54217  |4.57024  |0.02807 

0.50 |5.93245  |5.97528  |0.04283 

0.60 |7.61759  |7.68032  |0.06274 

0.70 |9.66245  |9.75180  |0.08935 

0.80 |12.14619 |12.27084 |0.12464 

0.90 |15.16536 |15.33653 |0.17117 

1.00 |18.83774 |19.06990 |0.23217 


PARA h=0.05

X    |EULER AP |EXATA    |ERRO ABSOLUTO

0.05 |1.31375  |1.31422  |0.00047 

0.10 |1.65782  |1.65886  |0.00104 

0.15 |2.03539  |2.03711  |0.00172 

0.20 |2.44998  |2.45252  |0.00254 

0.25 |2.90548  |2.90898  |0.00350 

0.30 |3.40618  |3.41083  |0.00465 

0.35 |3.95683  |3.96282  |0.00599 

0.40 |4.56267  |4.57024  |0.00757 

0.45 |5.22950  |5.23891  |0.00941 

0.50 |5.96372  |5.97528  |0.01155 

0.55 |6.77241  |6.78646  |0.01404 

0.60 |7.66339  |7.68032  |0.01693 

0.65 |8.64530  |8.66557  |0.02027 

0.70 |9.72768  |9.75180  |0.02412 

0.75 |10.92109 |10.94964 |0.02856 

0.80 |12.23717 |12.27084 |0.03367 

0.85 |13.68883 |13.72836 |0.03953 

0.90 |15.29028 |15.33653 |0.04625 

0.95 |17.05726 |17.11121 |0.05395 

1.00 |19.00715 |19.06990 |0.06276 


PARA h=0.1

X    |RUNGE K.  |EXATA     |K1        |K2        |K3        |K4        |ERRO ABSOLUTO

0.10 |1.65885   |1.65886   |6.00000   |6.55000   |6.60500   |7.22100   |0.00001 

0.20 |2.45250   |2.45252   |7.21770   |7.88947   |7.95665   |8.70903   |0.00002 

0.30 |3.41079   |3.41083   |8.70500   |9.52550   |9.60755   |10.52651  |0.00003 

0.40 |4.57018   |4.57024   |10.52159  |11.52374  |11.62396  |12.74638  |0.00006 

0.50 |5.97519   |5.97528   |12.74036  |13.96440  |14.08680  |15.45773  |0.00008 

0.60 |7.68020   |7.68032   |15.45038  |16.94542  |17.09492  |18.76937  |0.00012 

0.70 |9.75162   |9.75180   |18.76040  |20.58644  |20.76904  |22.81420  |0.00018 

0.80 |12.27059  |12.27084  |22.80325  |25.03357  |25.25660  |27.75457  |0.00025 

0.90 |15.33619  |15.33653  |27.74119  |30.46530  |30.73772  |33.78873  |0.00034 

1.00 |19.06945  |19.06990  |33.77238  |37.09962  |37.43235  |41.15885  |0.00046 

1.10 |23.61817  |23.61879  |41.13889  |45.20278  |45.60917  |50.16072  |0.00062 

1.20 |29.16291  |29.16374  |50.13634  |55.09998  |55.59634  |61.15561  |0.00082 

1.30 |35.92419  |35.92528  |61.12583  |67.18841  |67.79467  |74.58476  |0.00109 

1.40 |44.17135  |44.17278  |74.54839  |81.95322  |82.69371  |90.98713  |0.00143 

1.50 |54.23336  |54.23523  |90.94270  |99.98697  |100.89139 |111.02098 |0.00187 

1.60 |66.51202  |66.51446  |110.96671 |122.01338 |123.11805 |135.49032 |0.00244 

1.70 |81.49811  |81.50128  |135.42404 |148.91645 |150.26569 |165.37718 |0.00316 

1.80 |99.79105  |99.79514  |165.29622 |181.77585 |183.42381 |201.88099 |0.00409 

1.90 |122.12298 |122.12826 |201.78211 |221.91032 |223.92314 |246.46674 |0.00527 

2.00 |149.38813 |149.39491 |246.34597 |270.93056 |273.38902 |300.92377 |0.00678 


PARA h=0.05

X    |RUNGE K.  |EXATA     |K1        |K2        |K3        |K4        |ERRO ABSOLUTO

0.05 |1.31422   |1.31422   |6.00000   |6.27500   |6.28875   |6.57888   |0.00000 

0.10 |1.65886   |1.65886   |6.57844   |6.88236   |6.89756   |7.21820   |0.00000 

0.15 |2.03711   |2.03711   |7.21771   |7.55360   |7.57039   |7.92475   |0.00000 

0.20 |2.45252   |2.45252   |7.92422   |8.29543   |8.31399   |8.70562   |0.00000 

0.25 |2.90898   |2.90898   |8.70503   |9.11528   |9.13580   |9.56861   |0.00000 

0.30 |3.41082   |3.41083   |9.56796   |10.02136  |10.04403  |10.52237  |0.00000 

0.35 |3.96282   |3.96282   |10.52165  |11.02273  |11.04779  |11.57643  |0.00000 

0.40 |4.57023   |4.57024   |11.57563  |12.12942  |12.15710  |12.74134  |0.00000 

