"Link","Clube"
"https://www.espn.com.br/futebol/time/elenco/_/id/3458/athletico-pr","Athlético-PR"
"https://www.espn.com.br/futebol/time/elenco/_/id/10357/atletico-go","Atlético-GO"
"https://www.espn.com.br/futebol/time/elenco/_/id/7632/atletico-mg","Atlético-MG"
"https://www.espn.com.br/futebol/time/elenco/_/id/9967/bahia","Bahia"
"https://www.espn.com.br/futebol/time/elenco/_/id/6086/botafogo","Botafogo"
"https://www.espn.com.br/futebol/time/elenco/_/id/9969/ceara","Ceará"
"https://www.espn.com.br/futebol/time/elenco/_/id/874/corinthians","Corinthians"
"https://www.espn.com.br/futebol/time/elenco/_/id/3456/coritiba","Coritiba"
"https://www.espn.com.br/futebol/time/elenco/_/id/819/flamengo","Flamengo"
"https://www.espn.com.br/futebol/time/elenco/_/id/3445/fluminense","Fluminense"
"https://www.espn.com.br/futebol/time/elenco/_/id/3454/vasco-da-gama","Vasco"
"https://www.espn.com.br/futebol/time/elenco/_/id/2026/sao-paulo","São Paulo"
"https://www.espn.com.br/futebol/time/elenco/_/id/7635/sport","Sport"
"https://www.espn.com.br/futebol/time/elenco/_/id/2674/santos","Santos"
"https://www.espn.com.br/futebol/time/elenco/_/id/6079/red-bull-bragantino","Bragantino"
"https://www.espn.com.br/futebol/time/elenco/_/id/2029/palmeiras","Palmeiras"
"https://www.espn.com.br/futebol/time/elenco/_/id/1936/internacional","Internacional"
"https://www.espn.com.br/futebol/time/elenco/_/id/6273/gremio","Grêmio"
"https://www.espn.com.br/futebol/time/elenco/_/id/3395/goias","Goiás"
"https://www.espn.com.br/futebol/time/elenco/_/id/6272/fortaleza","Fortaleza"
